date_template;date_desc;date_key;date_example;julia_regex
MM-D-YYYY;USA 1 digit day short 4 digit year;MMhyDhyYYYY;01-2-2006;(\d\d)-(\d)-(\d\d\d\d) 
Mon/YY;Mon YY little endian slash 2 digit year;MonslYY;Jan/06;(.{3})/(\d\d)
MM/YYYY;MM YYYY slash 4 digit year;MMslYYYY;01/2006;(\d\d)/(\d\d\d\d)
Longdname HH:MIAM MM/DD/YYYY;Full Day Name Time MM/DD/YYYY;LongdnamespTimespMMsDDsYYYY;Monday 03:04AM 01/02/2006;(.+?)\s(\d\d)\:(\d\d)(.?M)\s(\d\d)/(\d\d)/(\d\d\d\d)
Longdname HH:MIAM MM/DD/YY;Full Day Name Time MM/DD/YY;LongdnamespTimespMMsDDsYY;Monday 03:04AM 01/02/06;(.+?)\s(\d\d)\:(\d\d)(.?M)\s(\d\d)/(\d\d)/(\d\d)
Day HH:MIAM MM/DD/YYYY;Day Time MM/DD/YYYY;DayspTimespMMsDDsYYYY;Mon 03:04AM 01/02/2006;(.+?)\s(\d\d)\:(\d\d)(.?M)\s(\d\d)/(\d\d)/(\d\d\d\d)
Day HH:MIAM MM/DD/YY;Day Time MM/DD/YY;DayspTimespMMsDDsYY;Mon 03:04AM 01/02/06;(.+?)\s(\d\d)\:(\d\d)(.?M)\s(\d\d)/(\d\d)/(\d\d)
Monthname DD, YYYY;Monthname DD, YYYY;MonthspDDcomspYYYY;January 02, 2006;(.+?)\s(\d\d),\s(\d\d\d\d)
Monthname D, YYYY;Monthname 1 digit year, YYYY;MonthspDcomspYYYY;January 2, 2006;(.+?)\s(\d),\s(\d\d\d\d)
Monthname DD YYYY HH:MM:SS;Monthname DD YYYY 24 Hr;MonthspDDspYYYYspHHcoMMcoSSspAM;January 02 2006 15:04:05;(.+?)\s(\d\d)\s(\d\d\d\d)\s(\d\d):(\d\d):(\d\d)
Monthname DD YYYY HH:MM:SSAM 12hr;Monthname DD YYYY 12hr;MonthspDDspYYYYspHHcoMMcoSSAM;January 02 2006 03:04:05AM;(.+?)\s(\d\d)\s(\d\d\d\d)\s(\d\d):(\d\d):(\d\d)(.?M)
Mon YYYY;Mon YYYY;MonspYYYY;Jan 2006;(.{3})\s(\d\d\d\d)
Monthname YYYY;Monthname YYYY;MonthspYYYY;January 2006;(.+?)\s(\d\d\d\d)
Monthname DD;Monthname DD;MonthspDD;January 02;(.+?)\s(\d\d)
Mon-YY;Mon Year hyphens 2 digit year;MonhyYY;Jan-06;(.+?)-(\d\d)
Mon-YYYY;MM Year hyphens 2 digit year;MonhyYYYY;Jan-2006;(.+?)-(\d\d\d\d)
MMDDYY;Middle-endian MMDDYY;MMDDYY;10206;(\d\d\d\d\d\d)
MMDDYYYY;Middle-endian MMDDYYYY;MMDDYYYY;1022006;(\d\d\d\d\d\d\d\d)
YY.MM.DD;ANSI 2 digit year;YYdoMMdoDD;06.01.02;(\d\d).(\d\d).(\d?\d?)
YYYY.MM.DD;ANSI 4 digit year;YYYYdoMMdoDD;2006.01.02;/(\d\d\d\d).(\d\d).(\d\d)
YY/MM/DD;Big-endian slash 2 digit year;YYslMMslDD;06/01/02;(\d\d)/(\d\d)/(\d\d)
YYYY/MM/DD;Big-endian slash 4 digit year;YYYYslMMslDD;2006/01/02;(\d\d\d\d)/(\d\d)/(\d\d)
YY.M.DD;ANSI 1 digit mth 2 digit year;YYdoMdoDD;06.1.02;(\d\d).(\d).(\d\d)
YYYY.M.DD;ANSI 1 digit mth 4 digit year;YYYYdoMdoDD;2006.1.02;(\d\d\d\d).(\d).(\d\d) 
YY/M/DD;Big-endian 1 digit mth slash 2 digit year;YYslMslDD;06/1/02;(\d\d)/(\d)/(\d\d)
YYYY/M/DD;Big-endian 1 digit mth slash 4 digit year;YYYYslMslDD;2006/1/02;(\d\d\d\d)/(\d)/(\d\d)
YY.MM.D;ANSI 1 digit day 2 digit year;YYdoMMdoD;06.01.2;(\d\d).(\d\d).(\d)
YYYY.MM.D;ANSI 1 digit day 4 digit year;YYYYdoMMdoD;2006.01.2;(\d\d\d\d).(\d\d).(\d) 
YY/MM/D;Big-endian slash 1 digit day 2 digit year;YYhyMMhyD;06/01/2;(\d\d)/(\d\d)/(\d)
YYYY/MM/D;Big-endian slash 1 digit day 4 digit year;YYYYslMMslD;2006/01/2;(\d\d\d\d)/(\d\d)/(\d)
YYMMDD;ISO Big-endian integer 2 digit year;YYMMDD;60102;(\d\d\d\d\d)
